Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
2002896,366873510,2023-09-01 00:00:03,21.30982,-157.86564,0.0,176.9,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
6356378,367433780,2023-09-01 00:00:03,21.30626,-157.86496,0.1,217.8,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
3704228,367151310,2023-09-01 00:00:08,21.31013,-157.86581,0.0,303.1,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2739995,338431599,2023-09-01 00:00:09,21.20673,-157.85176,3.3,153.0,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
4306327,367416420,2023-09-01 00:00:09,21.30887,-157.87148,8.0,104.8,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,31.0,A
2280196,366972620,2023-09-01 00:00:11,21.31003,-157.86884,0.2,266.7,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
315797,368926457,2023-09-01 00:00:30,21.35484,-157.95102,0.0,84.9,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
2002897,366873510,2023-09-01 00:02:24,21.3098,-157.86567,0.1,288.2,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
6356379,367433780,2023-09-01 00:02:24,21.30628,-157.86494,0.1,273.6,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
4306328,367416420,2023-09-01 00:02:28,21.30762,-157.86726,5.1,75.3,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,31.0,A
3704229,367151310,2023-09-01 00:02:30,21.31012,-157.86578,0.1,253.0,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
315798,368926457,2023-09-01 00:02:30,21.35482,-157.95102,0.0,174.4,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
2280197,366972620,2023-09-01 00:02:30,21.30839,-157.86626,4.0,112.0,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
2739998,338431599,2023-09-01 00:02:37,21.2046,-157.85094,3.3,154.4,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
2002898,366873510,2023-09-01 00:03:34,21.30981,-157.86561,0.0,154.7,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
2740001,338431599,2023-09-01 00:03:38,21.2038,-157.85067,3.1,151.7,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
4306329,367416420,2023-09-01 00:03:38,21.30772,-157.86669,0.6,352.2,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,31.0,A
3704230,367151310,2023-09-01 00:03:39,21.3101,-157.86578,0.0,252.6,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
512379,368926457,2023-09-01 00:03:41,21.35481,-157.95107,0.0,151.4,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
2328201,366972620,2023-09-01 00:03:41,21.30809,-157.86579,0.1,163.0,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
6356380,367433780,2023-09-01 00:03:43,21.30627,-157.86495,0.0,266.7,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
1678415,366873510,2023-09-01 00:04:44,21.30979,-157.86556,0.0,221.9,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
4306330,367416420,2023-09-01 00:04:48,21.30731,-157.86671,0.1,115.3,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,31.0,A
3450320,367151310,2023-09-01 00:04:50,21.31012,-157.86576,0.0,273.9,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
512380,368926457,2023-09-01 00:04:50,21.35482,-157.95101,0.0,133.9,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
2328203,366972620,2023-09-01 00:04:51,21.30808,-157.86576,0.1,143.0,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
6356381,367433780,2023-09-01 00:04:53,21.30628,-157.86493,0.0,266.7,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
2740006,338431599,2023-09-01 00:05:07,21.20256,-157.85023,3.2,151.6,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
6429592,533180021,2023-09-01 00:05:14,21.32311,-158.11352,0.0,126.1,44.0,MMA VALOUR,IMO9651929,9WNE6,90.0,5.0,84.0,20.0,5.5,90.0,A
4270376,366766970,2023-09-01 00:05:20,21.30932,-157.87107,0.0,277.4,120.0,KEKOA,IMO7404085,WDK5246,52.0,5.0,36.0,10.0,4.6,52.0,A
1678416,366873510,2023-09-01 00:05:54,21.30978,-157.86568,0.1,298.0,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
4306331,367416420,2023-09-01 00:05:57,21.30735,-157.8667,0.0,327.9,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,31.0,A
3450321,367151310,2023-09-01 00:05:59,21.31009,-157.86577,0.1,282.2,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328205,366972620,2023-09-01 00:06:00,21.30808,-157.86574,0.1,34.0,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
2740009,338431599,2023-09-01 00:06:08,21.20175,-157.84995,3.1,149.7,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
6356382,367433780,2023-09-01 00:06:14,21.30629,-157.86493,0.0,304.6,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
512381,368926457,2023-09-01 00:06:19,21.35484,-157.95104,0.0,166.2,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
