date,time,icao_hex,latitude,longitude,altitude,altitude_unit,vertical_rate,vertical_rate_unit
2025-01-27,02:58:45,000002,20.592153,-157.695779,204.625,meters,692.82,meters/minute
2025-01-27,02:58:45,000002,20.59222,-157.695708,212.016,meters,1108.513,meters/minute
2025-01-27,02:58:45,000002,20.592302,-157.695622,221.069,meters,1357.928,meters/minute
2025-01-27,02:58:46,000002,20.592392,-157.695525,231.121,meters,1507.577,meters/minute
2025-01-27,02:58:46,000002,20.592489,-157.695423,241.771,meters,1597.367,meters/minute
2025-01-27,02:58:47,000002,20.592588,-157.695317,252.78,meters,1651.24,meters/minute
2025-01-27,02:58:47,000002,20.592689,-157.69521,264.004,meters,1683.564,meters/minute
2025-01-27,02:58:47,000002,20.592792,-157.695101,275.358,meters,1702.959,meters/minute
2025-01-27,02:58:48,000002,20.592895,-157.694991,286.79,meters,1714.596,meters/minute
2025-01-27,02:58:48,000002,20.592999,-157.694881,298.268,meters,1721.578,meters/minute
2025-01-27,02:58:49,000002,20.593103,-157.694771,309.774,meters,1725.767,meters/minute
2025-01-27,02:58:49,000002,20.593207,-157.69466,321.297,meters,1728.281,meters/minute
2025-01-27,02:58:49,000002,20.593311,-157.69455,332.831,meters,1729.789,meters/minute
2025-01-27,02:58:50,000002,20.593415,-157.694439,344.37,meters,1730.694,meters/minute
2025-01-27,02:58:50,000002,20.593519,-157.694328,355.913,meters,1731.236,meters/minute
2025-01-27,02:58:51,000002,20.593624,-157.694218,367.458,meters,1731.562,meters/minute
2025-01-27,02:58:51,000002,20.593728,-157.694107,379.004,meters,1731.758,meters/minute
2025-01-27,02:58:51,000002,20.593832,-157.693996,390.551,meters,1731.875,meters/minute
2025-01-27,02:58:52,000002,20.593936,-157.693885,402.099,meters,1731.945,meters/minute
2025-01-27,02:58:52,000002,20.594041,-157.693775,413.647,meters,1731.987,meters/minute
2025-01-27,02:58:53,000002,20.594145,-157.693664,425.195,meters,1732.013,meters/minute
2025-01-27,02:58:53,000002,20.594249,-157.693553,436.744,meters,1732.028,meters/minute
2025-01-27,02:58:53,000002,20.594354,-157.693442,448.292,meters,1732.037,meters/minute
2025-01-27,02:58:54,000002,20.594458,-157.693332,459.841,meters,1732.043,meters/minute
2025-01-27,02:58:54,000002,20.594562,-157.693221,471.39,meters,1732.046,meters/minute
2025-01-27,02:58:55,000002,20.594666,-157.69311,482.938,meters,1732.048,meters/minute
2025-01-27,02:58:55,000002,20.594731,-157.692989,495.523,meters,1887.525,meters/minute
2025-01-27,02:58:55,000002,20.59477,-157.692863,508.731,meters,1980.96,meters/minute
2025-01-27,02:58:56,000002,20.594795,-157.692733,522.313,meters,2037.077,meters/minute
2025-01-27,02:58:56,000002,20.594809,-157.6926,536.119,meters,2070.766,meters/minute
2025-01-27,02:58:57,000002,20.594818,-157.692466,550.06,meters,2090.986,meters/minute
2025-01-27,02:58:57,000002,20.594824,-157.692332,564.083,meters,2103.12,meters/minute
2025-01-27,02:58:57,000002,20.594827,-157.692197,578.153,meters,2110.4,meters/minute
2025-01-27,02:58:58,000002,20.594829,-157.692062,592.253,meters,2114.767,meters/minute
2025-01-27,02:58:58,000002,20.59483,-157.691926,606.37,meters,2117.388,meters/minute
2025-01-27,02:58:59,000002,20.59483,-157.691791,620.498,meters,2118.959,meters/minute
2025-01-27,02:58:59,000002,20.594831,-157.691655,634.632,meters,2119.902,meters/minute
2025-01-27,02:58:59,000002,20.59483,-157.69152,648.77,meters,2120.467,meters/minute
2025-01-27,02:59:00,000002,20.59483,-157.691384,662.91,meters,2120.807,meters/minute
