date,year,month,cell_ll_lat,cell_ll_lon,flag,geartype,hours,fishing_hours,mmsi_present
2023-01-01,2023,1,-6.0,3.0,AGO,fishing,1.705,0.0,2
2023-01-01,2023,1,-5.8,2.6,AGO,fishing,0.6627,0.0,2
2023-01-01,2023,1,-5.7,2.5,AGO,fishing,1.5858,0.0,2
2023-01-01,2023,1,-5.5,2.3,AGO,fishing,0.3936,0.0,1
2023-01-01,2023,1,-5.2,1.8,AGO,fishing,0.413,0.0,1
2023-01-01,2023,1,-5.2,1.5,AGO,fishing,0.0783,0.0,1
2023-01-01,2023,1,-5.2,1.6,AGO,fishing,0.8755,0.0,2
2023-01-01,2023,1,-5.1,1.4,AGO,fishing,0.4658,0.0,1
2023-01-01,2023,1,-5.1,1.6,AGO,fishing,0.775,0.0,1
2023-01-01,2023,1,-5.0,1.3,AGO,fishing,1.0341,0.0,2
2023-01-01,2023,1,-5.0,1.2,AGO,fishing,0.2002,0.0,1
2023-01-01,2023,1,-4.8,1.1,AGO,fishing,0.9372,0.0,2
2023-01-01,2023,1,-4.6,0.6,AGO,fishing,0.3702,0.0,1
2023-01-01,2023,1,-4.6,0.7,AGO,fishing,1.4569,0.0,2
2023-01-01,2023,1,-4.5,0.4,AGO,fishing,0.2541,0.0,1
2023-01-01,2023,1,-4.5,0.7,AGO,fishing,0.075,0.0,1
2023-01-01,2023,1,-4.4,0.5,AGO,fishing,0.3891,0.0,1
2023-01-01,2023,1,-4.1,0.0,AGO,fishing,0.4575,0.0,1
2023-01-01,2023,1,-4.0,-0.4,AGO,fishing,0.3427,0.0,1
2023-01-01,2023,1,-3.8,-0.6,AGO,fishing,1.3886,0.0,2
2023-01-01,2023,1,-3.6,-1.1,AGO,fishing,0.188,0.0,1
2023-01-01,2023,1,-3.6,-0.9,AGO,fishing,1.2725,0.0,2
2023-01-01,2023,1,-3.3,-1.3,AGO,fishing,0.6024,0.0,1
2023-01-01,2023,1,-3.3,-1.4,AGO,fishing,0.8844,0.0,2
2023-01-01,2023,1,-3.3,-1.6,AGO,fishing,0.1244,0.0,1
2023-01-01,2023,1,-3.0,-2.1,AGO,fishing,0.2377,0.0,1
2023-01-01,2023,1,-2.9,-2.0,AGO,fishing,0.8747,0.0,1
2023-01-01,2023,1,-2.9,-2.1,AGO,fishing,1.058,0.0,2
2023-01-01,2023,1,-2.8,-2.4,AGO,fishing,0.4722,0.0,1
2023-01-01,2023,1,-2.8,-2.1,AGO,fishing,0.3277,0.0,1
2023-01-01,2023,1,-2.6,-2.5,AGO,fishing,0.8855,0.0,1
2023-01-01,2023,1,-2.4,-3.1,AGO,fishing,0.0105,0.0,1
2023-01-01,2023,1,-2.3,-3.1,AGO,fishing,1.1236,0.0,2
2023-01-01,2023,1,-2.2,-3.3,AGO,fishing,0.8041,0.0,1
2023-01-01,2023,1,-2.1,-3.3,AGO,fishing,0.8638,0.0,1
2023-01-01,2023,1,-2.1,-3.5,AGO,fishing,0.5644,0.0,1
2023-01-01,2023,1,-2.0,-3.5,AGO,fishing,1.2052,0.0,2
2023-01-01,2023,1,-1.9,-3.9,AGO,fishing,0.0725,0.0,1
2023-01-01,2023,1,-1.8,-4.0,AGO,fishing,0.5611,0.0,1
2023-01-01,2023,1,-1.6,-4.3,AGO,fishing,0.5777,0.0,1
2023-01-01,2023,1,-1.6,-4.1,AGO,fishing,0.7183,0.0,1
2023-01-01,2023,1,-1.5,-4.4,AGO,fishing,1.075,0.0,2
2023-01-01,2023,1,-1.5,-4.2,AGO,fishing,0.1975,0.0,1
2023-01-01,2023,1,-1.4,-4.5,AGO,fishing,1.0211,0.0,2
2023-01-01,2023,1,-1.3,-4.7,AGO,fishing,0.9988,0.0,2
2023-01-01,2023,1,-1.1,-5.0,AGO,fishing,0.9294,0.0,2
2023-01-01,2023,1,4.7,-1.1,ALB,trawlers,6.5455,0.0,1
