date,year,month,cell_ll_lat,cell_ll_lon,flag,geartype,hours,fishing_hours,mmsi_present
2023-01-01,2023,1,4.3,100.0,BEL,trawlers,4.5647,2.2413,1
2023-01-01,2023,1,4.6,99.7,BEL,trawlers,3.5669,3.5669,1
2023-01-01,2023,1,3.9,99.9,BES,trawlers,2.7922,0.0,1
2023-01-01,2023,1,4.0,100.0,BES,trawlers,0.8277,0.0,1
2023-01-01,2023,1,4.1,100.4,BES,trawlers,98.8094,79.8666,1
2023-01-01,2023,1,4.1,100.3,BES,trawlers,114.7433,101.5711,1
2023-01-01,2023,1,4.1,100.5,BES,trawlers,15.7066,3.1688,1
2023-01-01,2023,1,4.2,100.0,BES,trawlers,3.1238,0.0,1
2023-01-01,2023,1,4.2,99.6,BES,trawlers,3.78,3.5297,1
2023-01-01,2023,1,4.2,100.5,BES,trawlers,2.1599,0.0,1
2023-01-01,2023,1,4.4,99.5,BES,trawlers,17.0544,17.0544,1
2023-01-01,2023,1,4.4,99.4,BES,trawlers,2.8061,2.8061,1
2023-01-01,2023,1,4.5,99.5,BES,trawlers,0.5038,0.5038,1
2023-01-01,2023,1,4.5,99.6,BES,trawlers,2.8486,0.0,1
2023-01-01,2023,1,4.5,100.4,BES,trawlers,17.0988,0.0,1
2023-01-01,2023,1,4.9,99.8,BES,trawlers,1.0658,1.0658,1
2023-01-01,2023,1,1.2,103.8,CHN,squid_jigger,388.4797,0.0,5
2023-01-01,2023,1,1.2,104.0,CHN,squid_jigger,1.8952,0.0,4
2023-01-01,2023,1,1.3,104.4,CHN,squid_jigger,0.6238,0.0,4
2023-01-01,2023,1,1.3,104.2,CHN,squid_jigger,1.0294,0.0,4
2023-01-01,2023,1,1.4,104.4,CHN,squid_jigger,2.1875,0.0,4
2023-01-01,2023,1,1.5,103.0,CHN,squid_jigger,2.4522,0.0,5
2023-01-01,2023,1,1.6,102.6,CHN,squid_jigger,0.1466,0.0,1
2023-01-01,2023,1,1.6,102.7,CHN,squid_jigger,1.7205,0.0,3
2023-01-01,2023,1,1.6,102.8,CHN,squid_jigger,3.2916,0.0,5
2023-01-01,2023,1,1.7,102.6,CHN,squid_jigger,3.3197,0.0,5
2023-01-01,2023,1,1.9,102.3,CHN,squid_jigger,2.5416,0.0,5
2023-01-01,2023,1,2.0,102.1,CHN,squid_jigger,3.5411,0.0,5
2023-01-01,2023,1,2.3,101.7,CHN,squid_jigger,3.5738,0.0,5
2023-01-01,2023,1,2.5,101.3,CHN,squid_jigger,0.3563,0.0,1
