mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
500068580,MV_BRA_CARGO_000,KR,cargo,577,0,0,0.08,0,20.0,0.0,False,0.001,NONE
500068581,MV_BRA_CARGO_001,VU,tanker,577,0,0,0.08,0,15.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500068582,MV_BRA_CARGO_002,ES,cargo,577,0,0,0.08,0,20.4,0.0,False,0.001,NONE
500068583,MV_BRA_CARGO_003,PA,tanker,577,0,0,0.08,0,15.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500068584,MV_BRA_CARGO_004,VU,tanker,577,0,0,0.08,0,15.4,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500068585,MV_BRA_CARGO_005,BR,tanker,577,0,0,0.08,0,16.0,0.0,False,0.001,NONE
500068586,MV_BRA_CARGO_006,PA,tanker,577,0,0,0.08,0,14.6,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500068587,MV_BRA_CARGO_007,PA,tanker,577,0,0,0.08,0,15.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500068588,MV_BRA_CARGO_008,CN,bulk_carrier,577,0,0,0.08,0,14.3,0.0,False,0.001,NONE
500068589,MV_BRA_CARGO_009,CN,bulk_carrier,577,0,0,0.08,0,14.5,0.0,False,0.001,NONE
500068590,MV_BRA_CARGO_010,KR,tanker,577,0,0,0.08,0,15.5,0.0,False,0.001,NONE
500068591,MV_BRA_CARGO_011,BR,tanker,577,0,0,0.08,0,14.9,0.0,False,0.001,NONE
600008580,ANCHORED_BRA_00,CN,bulk_carrier,289,0,0,0.08,0,11.7,0.0,False,0.001,NONE
600008581,ANCHORED_BRA_01,CN,tanker,289,0,0,0.08,0,9.1,0.0,False,0.001,NONE
600008582,ANCHORED_BRA_02,MH,cargo,289,0,0,0.08,0,18.1,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600008583,ANCHORED_BRA_03,MH,cargo,289,0,0,0.08,0,17.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600008584,ANCHORED_BRA_04,LR,bulk_carrier,289,0,0,0.08,0,12.5,0.0,False,0.001,NONE
700068580,VESSEL_BRA_000,BR,trawler,865,0,0,0.08,0,12.8,0.0,False,0.001,NONE
700068581,VESSEL_BRA_001,PT,longliner,865,0,0,0.08,0,13.8,0.0,False,0.001,NONE
700068582,VESSEL_BRA_002,PA,trawler,865,0,0,0.08,0,13.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700068583,VESSEL_BRA_003,TW,trawler,865,0,0,0.08,0,13.2,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
700068584,VESSEL_BRA_004,BR,longliner,685,1,1,15.08,0,13.8,0.0,False,0.312,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700068585,VESSEL_BRA_005,BR,purse_seiner,672,1,1,16.17,0,15.8,0.0,False,0.331,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700068586,VESSEL_BRA_006,VU,trawler,865,0,0,0.08,0,13.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700068587,VESSEL_BRA_007,BR,purse_seiner,865,0,0,0.08,0,16.1,0.0,False,0.001,NONE
700068588,VESSEL_BRA_008,PT,longliner,865,0,0,0.08,0,13.9,0.0,False,0.001,NONE
700068589,VESSEL_BRA_009,CN,purse_seiner,720,1,1,12.17,0,16.3,0.0,False,0.281,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h; IUU_CONCERN_FLAG+FISHING
700068590,VESSEL_BRA_010,PT,trawler,865,0,0,0.08,0,13.3,0.0,False,0.001,NONE
700068591,VESSEL_BRA_011,BR,longliner,865,0,0,0.08,0,14.0,0.0,False,0.001,NONE
700068592,VESSEL_BRA_012,ES,trawler,865,0,0,0.08,0,13.5,0.0,False,0.001,NONE
700068593,VESSEL_BRA_013,ES,longliner,865,0,0,0.08,0,14.3,0.0,False,0.001,NONE
