mmsi,name,flag,vessel_type_key,true_activity,sog_mean,sog_std,sog_max,pct_slow,pct_vslow,pct_fast,cog_std,zig_zag,mean_turning_rate,max_turning_rate,loiter_index,centroid_lat,centroid_lon,lat_range,lon_range,total_dist_nm,bbox_area,t_span_h,pct_fishing_status,pct_anchored_status,n_dark_gaps,max_dark_gap_h,pct_dark,length,draught,dist_to_port_nm,dist_to_fishing_nm,n_pings
500029688,MV_BRA_CARGO_000,KR,cargo,transit,17.013864818024263,1.083585646580955,19.9,0.0,0.0,0.9965337954939342,25.28069253474526,0.0,3.467013888888888,19.19999999999999,2.2775479899202996e-05,-22.51486644714038,-59.92122124783362,3.9964200000000005,12.603359999999995,817.2424435770098,50.36831997119999,48.0,0.0,0.0,0,0.08333333333333333,0.0,214,8.2,754.4847926450215,753.6839273598821,577
500029689,MV_BRA_CARGO_001,VU,tanker,transit,12.88890814558059,0.7753894444231906,15.4,0.0,0.0,0.058925476603119586,40.40312253410773,0.0,3.5815972222222205,13.5,3.307156724169006e-05,8.677752616984401,-48.156034835355285,4.86509,6.714569999999995,619.3666035366423,32.666987361299974,48.0,0.0,0.0,0,0.08333333333333333,0.0,305,15.3,941.734621872856,1053.0927422826664,577
500029690,MV_BRA_CARGO_002,ES,cargo,transit,16.877123050259964,1.0049082528488502,19.8,0.0,0.0,0.9965337954939342,25.238448230723147,0.0,3.3274305555555554,12.5,2.2276038562006474e-05,-0.6016009878682841,-40.800007279029465,12.08831,3.0888299999999944,810.9053887549684,37.33873457729993,48.0,0.0,0.0,0,0.08333333333333333,0.0,123,9.1,231.86944616647784,352.88906875546104,577
500029691,MV_BRA_CARGO_003,PA,tanker,transit,13.022530329289427,0.8719458763584498,15.5,0.0,0.0,0.11611785095320624,25.524713599155106,0.0,3.3848958333333323,14.100000000000023,2.4601131825599333e-05,9.802749670710572,-38.42490195840554,9.07538,3.1886399999999995,625.7101132920715,28.938119683199993,48.0,0.0,0.0,0,0.08333333333333333,0.0,180,19.1,811.932046721512,841.3216936773533,577
500029692,MV_BRA_CARGO_004,VU,tanker,transit,13.145580589254767,0.8400412947910628,15.4,0.0,0.0,0.15424610051993068,33.61606960106124,0.0,3.2685763888888877,13.299999999999983,2.734073405614639e-05,-17.059555649913346,-21.942910329289433,7.935369999999999,4.840480000000003,631.4286439852901,38.41099977760002,48.0,0.0,0.0,0,0.08333333333333333,0.0,239,13.5,1246.5776000275457,1140.1486159723759,577
500029693,MV_BRA_CARGO_005,BR,tanker,transit,13.292027729636049,0.8545761489641406,16.1,0.0,0.0,0.16984402079722705,40.93373412873258,0.0,3.3680555555555554,13.599999999999994,3.016524617733588e-05,-25.403401351819756,-53.896225459272095,7.994050000000001,4.028269999999999,638.7844931633231,32.2021917935,48.0,0.0,0.0,0,0.08333333333333333,0.0,234,20.4,421.8477273242539,383.61246095419074,577
500029694,MV_BRA_CARGO_006,PA,tanker,transit,12.874696707105718,0.7384824149322718,14.7,0.0,0.0,0.04679376083188908,38.02717423509326,0.0,3.389409722222221,13.400000000000006,3.1023875115988034e-05,-6.652648544194108,-24.07165623916811,8.23696,2.5105499999999985,618.4168142526821,20.67929992799999,48.0,0.0,0.0,0,0.08333333333333333,0.0,167,17.0,881.5810305367198,730.5855058312345,577
500029695,MV_BRA_CARGO_007,PA,tanker,transit,12.9630849220104,0.7016490959115186,15.7,0.0,0.0,0.07279029462738301,40.27084868685267,0.0,3.4227430555555562,12.099999999999994,2.6362388575723626e-05,-18.853992235701906,-24.910877798960136,8.02363,2.2957,623.0126406187226,18.419847391,48.0,0.0,0.0,0,0.08333333333333333,0.0,285,17.6,1051.8853803474663,1103.8695746154026,577
500029696,MV_BRA_CARGO_008,CN,bulk_carrier,transit,12.554419410745233,0.7341995139930697,14.2,0.0,0.0,0.0017331022530329288,16.062503974194485,0.0,3.2114583333333337,13.5,1.2992454355660168e-05,-37.62582362218371,-27.24072975736568,5.025320000000001,10.420860000000005,602.9446675076986,52.36815617520003,48.0,0.0,0.0,0,0.08333333333333333,0.0,126,12.9,1206.3768894853106,1184.5134005811326,577
500029697,MV_BRA_CARGO_009,CN,bulk_carrier,transit,12.425649913344888,0.7107742029369462,14.4,0.0,0.0,0.005199306759098787,47.18239940154183,0.0,3.3289930555555554,13.0,3.6776862952144396e-05,1.681848873483536,-45.252255753899476,7.17444,3.0272800000000046,596.3620305344418,21.719038723200033,48.0,0.0,0.0,0,0.08333333333333333,0.0,147,15.9,518.0739622361984,651.6043965820605,577
