mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
500073107,MV_GUL_CARGO_000,SL,cargo,577,0,0,0.08,0,19.3,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500073108,MV_GUL_CARGO_001,CN,bulk_carrier,577,0,0,0.08,0,14.1,0.0,False,0.001,NONE
500073109,MV_GUL_CARGO_002,CM,cargo,577,0,0,0.08,0,20.5,0.0,False,0.001,NONE
500073110,MV_GUL_CARGO_003,LR,cargo,577,0,0,0.08,0,19.9,0.0,False,0.001,NONE
500073111,MV_GUL_CARGO_004,GH,cargo,577,0,0,0.08,0,20.1,0.0,False,0.001,NONE
500073112,MV_GUL_CARGO_005,KR,cargo,577,0,0,0.08,0,19.9,0.0,False,0.001,NONE
500073113,MV_GUL_CARGO_006,CN,cargo,577,0,0,0.08,0,20.3,0.0,False,0.001,NONE
500073114,MV_GUL_CARGO_007,SL,cargo,577,0,0,0.08,0,19.6,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500073115,MV_GUL_CARGO_008,GA,bulk_carrier,577,0,0,0.08,0,14.3,0.0,False,0.001,NONE
500073116,MV_GUL_CARGO_009,PA,bulk_carrier,577,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500073117,MV_GUL_CARGO_010,GA,tanker,577,0,0,0.08,0,15.5,0.0,False,0.001,NONE
500073118,MV_GUL_CARGO_011,CM,bulk_carrier,577,0,0,0.08,0,14.1,0.0,False,0.001,NONE
600003107,ANCHORED_GUL_00,PA,bulk_carrier,289,0,0,0.08,0,11.1,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600003108,ANCHORED_GUL_01,CN,tanker,289,0,0,0.08,0,10.8,0.0,False,0.001,NONE
600003109,ANCHORED_GUL_02,PA,bulk_carrier,289,0,0,0.08,0,7.9,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600003110,ANCHORED_GUL_03,CN,cargo,289,0,0,0.08,0,14.9,0.0,False,0.001,NONE
600003111,ANCHORED_GUL_04,BR,tanker,289,0,0,0.08,0,12.7,0.0,False,0.001,NONE
700073107,VESSEL_GUL_000,GA,longliner,865,0,0,0.08,0,14.2,0.0,False,0.001,NONE
700073108,VESSEL_GUL_001,CM,longliner,865,0,0,0.08,0,14.9,0.0,False,0.001,NONE
700073109,VESSEL_GUL_002,NG,purse_seiner,662,1,1,17.0,0,16.0,0.0,False,0.346,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700073110,VESSEL_GUL_003,KR,trawler,649,1,1,18.08,0,13.4,0.0,False,0.364,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700073111,VESSEL_GUL_004,GA,purse_seiner,721,1,1,12.08,0,16.0,0.0,False,0.259,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700073112,VESSEL_GUL_005,GH,trawler,865,0,0,0.08,0,13.1,0.0,False,0.001,NONE
700073113,VESSEL_GUL_006,LR,trawler,865,0,0,0.08,0,13.6,0.0,False,0.001,NONE
700073114,VESSEL_GUL_007,GH,trawler,865,0,0,0.08,0,13.8,0.0,False,0.001,NONE
700073115,VESSEL_GUL_008,GH,purse_seiner,865,0,0,0.08,0,16.0,0.0,False,0.001,NONE
700073116,VESSEL_GUL_009,CM,purse_seiner,865,0,0,0.08,0,16.3,0.0,False,0.001,NONE
700073117,VESSEL_GUL_010,CN,trawler,681,1,1,15.42,0,13.5,0.0,False,0.338,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h; IUU_CONCERN_FLAG+FISHING
700073118,VESSEL_GUL_011,PA,longliner,865,0,0,0.08,0,13.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700073119,VESSEL_GUL_012,GH,purse_seiner,865,0,0,0.08,0,16.2,0.0,False,0.001,NONE
700073120,VESSEL_GUL_013,LR,longliner,865,0,0,0.08,0,13.9,0.0,False,0.001,NONE
700073121,VESSEL_GUL_014,PA,longliner,865,0,0,0.08,0,13.8,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700073122,VESSEL_GUL_015,CM,longliner,865,0,0,0.08,0,14.0,0.0,False,0.001,NONE
700073123,VESSEL_GUL_016,GA,trawler,726,1,1,11.67,0,13.1,0.0,False,0.252,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700073124,VESSEL_GUL_017,KR,trawler,865,0,0,0.08,0,13.2,0.0,False,0.001,NONE
700073125,VESSEL_GUL_018,GA,longliner,865,0,0,0.08,0,13.7,0.0,False,0.001,NONE
700073126,VESSEL_GUL_019,GA,purse_seiner,865,0,0,0.08,0,16.4,0.0,False,0.001,NONE
750000108,FISH_GUL_TRANS,KR,trawler,228,1,0,3.17,0,11.7,0.0,False,0.103,AIS_GAPS_1x>1h
750000208,FISH_GUL_TRANS,KR,trawler,228,1,0,3.17,0,13.2,0.0,False,0.103,AIS_GAPS_1x>1h
750000308,FISH_GUL_TRANS,CN,trawler,265,0,0,0.08,0,12.3,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
750100108,REEFER_GUL_01,PA,reefer_carrier,205,0,0,0.08,0,17.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
750100208,REEFER_GUL_01,LR,reefer_carrier,205,0,0,0.08,0,17.7,0.0,False,0.001,NONE
750100308,REEFER_GUL_01,LR,reefer_carrier,205,0,0,0.08,0,17.6,0.0,False,0.001,NONE
760000108,CARGO_GUL_BNKR,JP,cargo,163,0,0,0.08,0,20.4,0.0,False,0.001,NONE
760000208,CARGO_GUL_BNKR,JP,cargo,163,0,0,0.08,0,18.9,0.0,False,0.001,NONE
760000308,CARGO_GUL_BNKR,CN,cargo,163,0,0,0.08,0,19.8,0.0,False,0.001,NONE
760100108,BARGE_GUL_01,BR,bunker_barge,73,0,0,0.08,0,9.3,0.0,False,0.001,NONE
760100208,BARGE_GUL_01,NG,bunker_barge,73,0,0,0.08,0,9.0,0.0,False,0.001,NONE
760100308,BARGE_GUL_01,SG,bunker_barge,73,0,0,0.08,0,10.0,0.0,False,0.001,NONE
770003108,SURVEY_GUL_00,US,survey_vessel,176,0,0,0.08,0,14.3,0.0,False,0.001,NONE
780003108,PATROL_GUL_00,NG,patrol_vessel,58,0,0,0.08,0,13.4,0.0,False,0.001,NONE
780003109,PATROL_GUL_01,NG,patrol_vessel,58,0,0,0.08,0,13.7,0.0,False,0.001,NONE
790003108,DREDGER_GUL_00,BE,dredger,203,0,0,0.08,0,4.2,0.0,False,0.001,NONE
800003107,LOITER_GUL_00,SL,cargo,553,0,0,0.08,0,19.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
