mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
500033514,MV_STR_CARGO_000,LR,bulk_carrier,577,0,0,0.08,0,14.7,0.0,False,0.001,NONE
500033515,MV_STR_CARGO_001,CN,cargo,577,0,0,0.08,0,20.0,0.0,False,0.001,NONE
500033516,MV_STR_CARGO_002,LR,cargo,577,0,0,0.08,0,21.2,0.0,False,0.001,NONE
500033517,MV_STR_CARGO_003,PH,tanker,577,0,0,0.08,0,15.3,0.0,False,0.001,NONE
500033518,MV_STR_CARGO_004,MY,bulk_carrier,577,0,0,0.08,0,15.2,0.0,False,0.001,NONE
500033519,MV_STR_CARGO_005,JP,tanker,577,0,0,0.08,0,15.4,0.0,False,0.001,NONE
500033520,MV_STR_CARGO_006,JP,bulk_carrier,404,1,1,14.5,0,14.5,0.0,False,0.302,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
500033521,MV_STR_CARGO_007,MY,bulk_carrier,577,0,0,0.08,0,14.6,0.0,False,0.001,NONE
500033522,MV_STR_CARGO_008,KR,tanker,577,0,0,0.08,0,15.1,0.0,False,0.001,NONE
500033523,MV_STR_CARGO_009,PH,cargo,577,0,0,0.08,0,19.7,0.0,False,0.001,NONE
500033524,MV_STR_CARGO_010,JP,tanker,577,0,0,0.08,0,16.6,0.0,False,0.001,NONE
500033525,MV_STR_CARGO_011,CN,tanker,577,0,0,0.08,0,15.6,0.0,False,0.001,NONE
600003514,ANCHORED_STR_00,MH,tanker,289,0,0,0.08,0,11.4,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600003515,ANCHORED_STR_01,PA,cargo,289,0,0,0.08,0,11.6,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600003516,ANCHORED_STR_02,PA,tanker,289,0,0,0.08,0,11.9,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600003517,ANCHORED_STR_03,MH,cargo,289,0,0,0.08,0,15.4,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600003518,ANCHORED_STR_04,MH,cargo,289,0,0,0.08,0,13.8,0.0,True,0.031,POOR_COMPLIANCE_FLAG
