OBJECTID,GLOBAL_ID,IDENT,TYPE_CODE,LEVEL_,WKHR_CODE,WKHR_RMK,MAA_VAL,MAA_UOM,MEA_E_VAL,MEA_E_UOM,MEA_W_VAL,MEA_W_UOM,GMEA_E_VAL,GMEA_E_UOM,GMEA_W_VAL,GMEA_W_UOM,DMEA_VAL,DMEA_UOM,MOCA_VAL,MOCA_UOM,MEAGAP,TRUETRK,MAGTRK,REVTRUETRK,REVMAGTRK,NMAGTRK,NREVMAGTRK,LENGTH_VAL,COPDIST,COPNAV_ID,REPATCSTAR,REPATCEND,DIRECTION,FREQ_CLASS,STATUS,STARTPT_ID,ENDPT_ID,RTPORT_ID,ENRINFO_ID,WIDTHRIGHT,WIDTHLEFT,WIDTH_UOM,MCA1_VAL,MCA1_UOM,MCA1_DIR,MCA2_VAL,MCA2_UOM,MCA2_DIR,MCAPT_ID,MCAPT_TYPE,TFLAG_CODE,REMARKS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,SHAPE_LENGTH
1,3B08E58C-F6B4-4FA8-AD6D-F164A8BD088E,A332,OCEAN,B,,,60000,FT,5500,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,44.56,34.8,227.41,216.34,,,458.77,,,C,C,,A,,2BD35DC2-A552-4D90-A1D4-D668A65FF45A,3B030D6E-795F-4AFB-BCF7-91B73CEA9590,0A1A7A0A-0C6C-4EFA-9469-9CD66D66AD45,BFF3FAA8-E452-4A29-A1F5-099EDD8A815B,4,4,NM,999999,,,999999,,,,,0,,0,0,0,0,0,1,8.16161787117324
2,282F50A2-6253-4609-90D9-B5D08FFDB1E2,A332,OCEAN,B,,,60000,FT,5500,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,47.35,36.28,230.98,218.35,,,452.34,,,C,C,,A,,3B030D6E-795F-4AFB-BCF7-91B73CEA9590,E87EC6B0-1B3E-49D0-AE53-5C901412372E,D991987C-79F1-48AB-B6A3-A0A9A14C40A9,BFF3FAA8-E452-4A29-A1F5-099EDD8A815B,4,4,NM,999999,,,999999,,,,,0,,0,0,0,0,0,1,8.36670483563411
3,714522A2-D4CB-4BC4-A532-BD003F9A9DED,A332,OCEAN,B,,,60000,FT,5500,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,50.99,38.36,235.46,221.47,,,440.99,,,C,C,,A,,E87EC6B0-1B3E-49D0-AE53-5C901412372E,606F28D0-8FE1-4A42-A769-0348BBB25937,9A053DA6-9BB1-441D-A275-ED5B146795DF,BFF3FAA8-E452-4A29-A1F5-099EDD8A815B,4,4,NM,999999,,,999999,,,,,0,,0,0,0,0,0,1,8.59236912907773
4,A182F324-7828-4C7D-B8C1-045D8ED585CA,A332,OCEAN,B,,,60000,FT,5500,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,55.4,41.42,240.89,226.3,,,441.07,,,C,C,,A,,606F28D0-8FE1-4A42-A769-0348BBB25937,97A9B791-13AF-4AEA-9A03-B9041FC04624,429C5646-49A0-4F7A-98E2-4DA876884777,BFF3FAA8-E452-4A29-A1F5-099EDD8A815B,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,1,9.16362262856684
5,F064A61D-DFFF-409A-9B2E-EF6E6E43D67A,A450,OCEAN,B,,,999999,FT,18000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,44.92,44.87,225.24,225.23,,,295.9,,,C,C,,A,,8AAE9D79-7B94-4FEA-9D61-38126BE9A791,99EB0249-7EBE-43FB-A3BD-36FF98E329D7,A82E1CFC-3F52-444D-A664-633869A998DD,261FC00D-33A8-4C40-A14A-0A29F0AA5F84,4,4,NM,999999,,,999999,,,,,0,,0,0,0,0,0,1,4.94976212938291
6,BDC4B3A8-55F0-45F9-8312-27FDD071D863,A450,OCEAN,B,,,60000,FT,18000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,72.54,71.7,252.88,251.76,,,81.81,,,C,R,,A,,BDE07599-C284-4ABC-B538-591A8395430F,74F206F9-5351-493F-A62A-369CD19981F1,15C4FCAE-C8F2-4E32-86DE-B7A704AFDECD,C5859B72-0E3B-47AE-BBC4-CAF61A95E224,4,4,NM,999999,,,999999,,,,,3,,0,0,0,0,0,1,1.40319640723572
7,2409DE6F-EF35-49EB-9CF4-7D64CC8F4DBD,A450,OCEAN,B,,,60000,FT,5500,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,74.38,73.27,256.8,253.65,,,523.28,,,R,C,,A,,74F206F9-5351-493F-A62A-369CD19981F1,2CF55727-480A-4B3A-88F5-C216E73DD6A5,15C4FCAE-C8F2-4E32-86DE-B7A704AFDECD,C5859B72-0E3B-47AE-BBC4-CAF61A95E224,4,4,NM,999999,,,999999,,,,,1,,0,0,0,0,0,1,9.0360376925048
8,C68D3E8B-9FFA-487E-AE2B-2EDFB960ED21,A450,OCEAN,B,,,60000,FT,5500,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,76.79,73.64,259.55,254.18,,,522.95,,,C,C,,A,,2CF55727-480A-4B3A-88F5-C216E73DD6A5,B083F114-156D-4860-B151-A7D20DD7636E,83D7C330-23AA-4CEE-B63D-F21D772870B6,C5859B72-0E3B-47AE-BBC4-CAF61A95E224,4,4,NM,999999,,,999999,,,,,0,,0,0,0,0,0,1,9.12801779434119
9,D04481C1-129E-4635-8C0B-58CACC267E60,A450,OCEAN,B,,,60000,FT,5500,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,79.7,74.33,261.9,255.08,,,380.24,,,C,C,,A,,B083F114-156D-4860-B151-A7D20DD7636E,50015DF7-E8A5-4FB5-90D7-DEE23A9EC637,B823F6AF-6374-468B-9B98-A8F81E2F6AB7,C5859B72-0E3B-47AE-BBC4-CAF61A95E224,4,4,NM,999999,,,999999,,,,,0,,0,0,0,0,0,1,6.69468258388995
10,22BEBF34-BAD9-42CD-9579-7737D41C63DA,A450,OCEAN,B,,,60000,FT,5500,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,82.23,75.41,264.54,256.63,,,379.76,,,C,C,,A,,50015DF7-E8A5-4FB5-90D7-DEE23A9EC637,9D172690-DD54-4972-818C-9BE6FBE00593,DB1521C4-AC9E-4448-8096-6097B4C48F7D,C5859B72-0E3B-47AE-BBC4-CAF61A95E224,4,4,NM,999999,,,999999,,,,,0,,0,0,0,0,0,1,6.72656163969729
