date,year,month,cell_ll_lat,cell_ll_lon,flag,geartype,hours,fishing_hours,mmsi_present
2023-01-01,2023,1,-24.1,-46.0,AFG,trawlers,56.0811,47.6208,1
2023-01-01,2023,1,-24.1,-46.2,AFG,trawlers,62.0544,48.6944,1
2023-01-01,2023,1,-26.6,-48.5,ARG,trawlers,0.9986,0.9986,1
2023-01-01,2023,1,-26.5,-48.5,ARG,trawlers,2.4808,2.4469,1
2023-01-01,2023,1,-26.2,-48.5,ARG,trawlers,0.5413,0.0,1
2023-01-01,2023,1,-23.5,-41.7,ARG,trawlers,0.0852,0.0,1
2023-01-01,2023,1,-34.7,-51.8,BRA,trollers,32.6955,10.1941,1
2023-01-01,2023,1,-34.6,-51.8,BRA,fishing,3.9997,3.9997,1
2023-01-01,2023,1,-34.6,-51.6,BRA,drifting_longlines,11.8999,11.8999,2
2023-01-01,2023,1,-34.6,-51.7,BRA,drifting_longlines,45.9872,45.9872,4
2023-01-01,2023,1,-34.6,-51.8,BRA,trollers,1.3502,1.3502,1
2023-01-01,2023,1,-34.6,-51.8,BRA,drifting_longlines,19.1036,19.1036,2
2023-01-01,2023,1,-34.4,-51.5,BRA,drifting_longlines,92.4569,89.9738,4
2023-01-01,2023,1,-34.4,-51.3,BRA,fishing,0.3236,0.3236,1
2023-01-01,2023,1,-34.4,-51.6,BRA,drifting_longlines,59.7997,57.3688,5
2023-01-01,2023,1,-34.4,-51.6,BRA,fishing,19.7169,19.7169,1
2023-01-01,2023,1,-34.4,-52.5,BRA,trawlers,8.3191,8.3191,2
2023-01-01,2023,1,-34.3,-52.6,BRA,trawlers,159.043,131.5516,9
2023-01-01,2023,1,-34.3,-52.1,BRA,set_longlines,0.9097,0.6094,1
2023-01-01,2023,1,-34.3,-51.3,BRA,drifting_longlines,22.8913,17.005,3
2023-01-01,2023,1,-34.3,-51.1,BRA,fishing,0.9744,0.9744,1
2023-01-01,2023,1,-34.3,-52.3,BRA,trawlers,0.8977,0.8977,1
2023-01-01,2023,1,-34.2,-51.6,BRA,drifting_longlines,15.3833,15.3833,6
2023-01-01,2023,1,-34.2,-51.1,BRA,fishing,24.3605,24.3605,3
2023-01-01,2023,1,-34.2,-51.2,BRA,fishing,8.1797,8.1797,2
2023-01-01,2023,1,-34.1,-52.2,BRA,trawlers,86.5358,84.8447,5
