mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
500050112,MV_GUL_CARGO_000,SL,cargo,577,0,0,0.08,0,19.3,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500050113,MV_GUL_CARGO_001,CN,bulk_carrier,577,0,0,0.08,0,14.1,0.0,False,0.001,NONE
500050114,MV_GUL_CARGO_002,CM,cargo,577,0,0,0.08,0,20.5,0.0,False,0.001,NONE
500050115,MV_GUL_CARGO_003,LR,cargo,577,0,0,0.08,0,19.9,0.0,False,0.001,NONE
500050116,MV_GUL_CARGO_004,GH,cargo,577,0,0,0.08,0,20.1,0.0,False,0.001,NONE
500050117,MV_GUL_CARGO_005,KR,cargo,577,0,0,0.08,0,19.9,0.0,False,0.001,NONE
500050118,MV_GUL_CARGO_006,CN,cargo,577,0,0,0.08,0,20.3,0.0,False,0.001,NONE
500050119,MV_GUL_CARGO_007,SL,cargo,577,0,0,0.08,0,19.6,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500050120,MV_GUL_CARGO_008,GA,bulk_carrier,577,0,0,0.08,0,14.3,0.0,False,0.001,NONE
500050121,MV_GUL_CARGO_009,PA,bulk_carrier,577,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500050122,MV_GUL_CARGO_010,GA,tanker,577,0,0,0.08,0,15.5,0.0,False,0.001,NONE
500050123,MV_GUL_CARGO_011,CM,bulk_carrier,577,0,0,0.08,0,14.1,0.0,False,0.001,NONE
600000112,ANCHORED_GUL_00,PA,bulk_carrier,289,0,0,0.08,0,11.1,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600000113,ANCHORED_GUL_01,CN,tanker,289,0,0,0.08,0,10.8,0.0,False,0.001,NONE
600000114,ANCHORED_GUL_02,PA,bulk_carrier,289,0,0,0.08,0,7.9,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600000115,ANCHORED_GUL_03,CN,cargo,289,0,0,0.08,0,14.9,0.0,False,0.001,NONE
600000116,ANCHORED_GUL_04,BR,tanker,289,0,0,0.08,0,12.7,0.0,False,0.001,NONE
700050112,VESSEL_GUL_000,GA,longliner,865,0,0,0.08,0,14.2,0.0,False,0.001,NONE
700050113,VESSEL_GUL_001,CM,longliner,865,0,0,0.08,0,14.9,0.0,False,0.001,NONE
700050114,VESSEL_GUL_002,NG,purse_seiner,662,1,1,17.0,0,16.0,0.0,False,0.346,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700050115,VESSEL_GUL_003,KR,trawler,649,1,1,18.08,0,13.4,0.0,False,0.364,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700050116,VESSEL_GUL_004,GA,purse_seiner,721,1,1,12.08,0,16.0,0.0,False,0.259,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700050117,VESSEL_GUL_005,GH,trawler,865,0,0,0.08,0,13.1,0.0,False,0.001,NONE
700050118,VESSEL_GUL_006,LR,trawler,865,0,0,0.08,0,13.6,0.0,False,0.001,NONE
700050119,VESSEL_GUL_007,GH,trawler,865,0,0,0.08,0,13.8,0.0,False,0.001,NONE
700050120,VESSEL_GUL_008,GH,purse_seiner,865,0,0,0.08,0,16.0,0.0,False,0.001,NONE
700050121,VESSEL_GUL_009,CM,purse_seiner,865,0,0,0.08,0,16.3,0.0,False,0.001,NONE
700050122,VESSEL_GUL_010,CN,trawler,681,1,1,15.42,0,13.5,0.0,False,0.338,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h; IUU_CONCERN_FLAG+FISHING
