mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
500053150,MV_PHI_CARGO_000,PA,cargo,577,0,0,0.08,0,20.4,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500053151,MV_PHI_CARGO_001,PH,tanker,577,0,0,0.08,0,15.3,0.0,False,0.001,NONE
500053152,MV_PHI_CARGO_002,CN,bulk_carrier,577,0,0,0.08,0,14.6,0.0,False,0.001,NONE
500053153,MV_PHI_CARGO_003,ID,cargo,577,0,0,0.08,0,19.3,0.0,False,0.001,NONE
500053154,MV_PHI_CARGO_004,SG,cargo,577,0,0,0.08,0,19.5,0.0,False,0.001,NONE
500053155,MV_PHI_CARGO_005,SG,tanker,577,0,0,0.08,0,15.3,0.0,False,0.001,NONE
500053156,MV_PHI_CARGO_006,SG,tanker,577,0,0,0.08,0,15.0,0.0,False,0.001,NONE
500053157,MV_PHI_CARGO_007,CN,bulk_carrier,577,0,0,0.08,0,14.9,0.0,False,0.001,NONE
500053158,MV_PHI_CARGO_008,TW,cargo,577,0,0,0.08,0,19.9,0.0,False,0.001,NONE
500053159,MV_PHI_CARGO_009,CN,bulk_carrier,577,0,0,0.08,0,15.3,0.0,False,0.001,NONE
500053160,MV_PHI_CARGO_010,TW,tanker,577,0,0,0.08,0,15.5,0.0,False,0.001,NONE
500053161,MV_PHI_CARGO_011,MH,bulk_carrier,577,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600003150,ANCHORED_PHI_00,PA,bulk_carrier,289,0,0,0.08,0,9.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600003151,ANCHORED_PHI_01,LR,tanker,289,0,0,0.08,0,11.0,0.0,False,0.001,NONE
600003152,ANCHORED_PHI_02,LR,bulk_carrier,289,0,0,0.08,0,8.9,0.0,False,0.001,NONE
600003153,ANCHORED_PHI_03,LR,bulk_carrier,289,0,0,0.08,0,11.4,0.0,False,0.001,NONE
600003154,ANCHORED_PHI_04,BR,cargo,289,0,0,0.08,0,13.7,0.0,False,0.001,NONE
700053150,VESSEL_PHI_000,TW,trawler,865,0,0,0.08,0,12.9,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
700053151,VESSEL_PHI_001,PH,purse_seiner,752,1,1,9.5,0,16.6,0.0,False,0.214,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700053152,VESSEL_PHI_002,CN,trawler,865,0,0,0.08,0,13.1,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
700053153,VESSEL_PHI_003,SG,longliner,865,0,0,0.08,0,13.9,0.0,False,0.001,NONE
700053154,VESSEL_PHI_004,MH,trawler,865,0,0,0.08,0,13.6,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700053155,VESSEL_PHI_005,TW,trawler,865,0,0,0.08,0,13.0,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
700053156,VESSEL_PHI_006,MH,longliner,865,0,0,0.08,0,14.0,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700053157,VESSEL_PHI_007,SG,purse_seiner,865,0,0,0.08,0,16.0,0.0,False,0.001,NONE
700053158,VESSEL_PHI_008,ID,trawler,865,0,0,0.08,0,13.2,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
700053159,VESSEL_PHI_009,SG,trawler,865,0,0,0.08,0,13.0,0.0,False,0.001,NONE
