mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
500036897,MV_GUL_CARGO_000,SL,cargo,577,0,0,0.08,0,19.3,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500036898,MV_GUL_CARGO_001,CN,bulk_carrier,577,0,0,0.08,0,14.1,0.0,False,0.001,NONE
500036899,MV_GUL_CARGO_002,CM,cargo,577,0,0,0.08,0,20.5,0.0,False,0.001,NONE
500036900,MV_GUL_CARGO_003,LR,cargo,577,0,0,0.08,0,19.9,0.0,False,0.001,NONE
500036901,MV_GUL_CARGO_004,GH,cargo,577,0,0,0.08,0,20.1,0.0,False,0.001,NONE
500036902,MV_GUL_CARGO_005,KR,cargo,577,0,0,0.08,0,19.9,0.0,False,0.001,NONE
500036903,MV_GUL_CARGO_006,CN,cargo,577,0,0,0.08,0,20.3,0.0,False,0.001,NONE
500036904,MV_GUL_CARGO_007,SL,cargo,577,0,0,0.08,0,19.6,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500036905,MV_GUL_CARGO_008,GA,bulk_carrier,577,0,0,0.08,0,14.3,0.0,False,0.001,NONE
500036906,MV_GUL_CARGO_009,PA,bulk_carrier,577,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
500036907,MV_GUL_CARGO_010,GA,tanker,577,0,0,0.08,0,15.5,0.0,False,0.001,NONE
500036908,MV_GUL_CARGO_011,CM,bulk_carrier,577,0,0,0.08,0,14.1,0.0,False,0.001,NONE
600006897,ANCHORED_GUL_00,PA,bulk_carrier,289,0,0,0.08,0,11.1,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600006898,ANCHORED_GUL_01,CN,tanker,289,0,0,0.08,0,10.8,0.0,False,0.001,NONE
600006899,ANCHORED_GUL_02,PA,bulk_carrier,289,0,0,0.08,0,7.9,0.0,True,0.031,POOR_COMPLIANCE_FLAG
600006900,ANCHORED_GUL_03,CN,cargo,289,0,0,0.08,0,14.9,0.0,False,0.001,NONE
600006901,ANCHORED_GUL_04,BR,tanker,289,0,0,0.08,0,12.7,0.0,False,0.001,NONE
700036897,VESSEL_GUL_000,GA,longliner,865,0,0,0.08,0,14.2,0.0,False,0.001,NONE
700036898,VESSEL_GUL_001,CM,longliner,865,0,0,0.08,0,14.9,0.0,False,0.001,NONE
700036899,VESSEL_GUL_002,NG,purse_seiner,662,1,1,17.0,0,16.0,0.0,False,0.346,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700036900,VESSEL_GUL_003,KR,trawler,649,1,1,18.08,0,13.4,0.0,False,0.364,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700036901,VESSEL_GUL_004,GA,purse_seiner,721,1,1,12.08,0,16.0,0.0,False,0.259,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700036902,VESSEL_GUL_005,GH,trawler,865,0,0,0.08,0,13.1,0.0,False,0.001,NONE
700036903,VESSEL_GUL_006,LR,trawler,865,0,0,0.08,0,13.6,0.0,False,0.001,NONE
700036904,VESSEL_GUL_007,GH,trawler,865,0,0,0.08,0,13.8,0.0,False,0.001,NONE
700036905,VESSEL_GUL_008,GH,purse_seiner,865,0,0,0.08,0,16.0,0.0,False,0.001,NONE
700036906,VESSEL_GUL_009,CM,purse_seiner,865,0,0,0.08,0,16.3,0.0,False,0.001,NONE
700036907,VESSEL_GUL_010,CN,trawler,681,1,1,15.42,0,13.5,0.0,False,0.338,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h; IUU_CONCERN_FLAG+FISHING
700036908,VESSEL_GUL_011,PA,longliner,865,0,0,0.08,0,13.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700036909,VESSEL_GUL_012,GH,purse_seiner,865,0,0,0.08,0,16.2,0.0,False,0.001,NONE
700036910,VESSEL_GUL_013,LR,longliner,865,0,0,0.08,0,13.9,0.0,False,0.001,NONE
700036911,VESSEL_GUL_014,PA,longliner,865,0,0,0.08,0,13.8,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700036912,VESSEL_GUL_015,CM,longliner,865,0,0,0.08,0,14.0,0.0,False,0.001,NONE
700036913,VESSEL_GUL_016,GA,trawler,726,1,1,11.67,0,13.1,0.0,False,0.252,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700036914,VESSEL_GUL_017,KR,trawler,865,0,0,0.08,0,13.2,0.0,False,0.001,NONE
700036915,VESSEL_GUL_018,GA,longliner,865,0,0,0.08,0,13.7,0.0,False,0.001,NONE
700036916,VESSEL_GUL_019,GA,purse_seiner,865,0,0,0.08,0,16.4,0.0,False,0.001,NONE
750000898,FISH_GUL_TRANS,KR,trawler,228,1,0,3.17,0,11.7,0.0,False,0.103,AIS_GAPS_1x>1h
