mmsi,name,flag,vessel_type_key,true_activity,sog_mean,sog_std,sog_max,pct_slow,pct_vslow,pct_fast,cog_std,zig_zag,mean_turning_rate,max_turning_rate,loiter_index,centroid_lat,centroid_lon,lat_range,lon_range,total_dist_nm,bbox_area,t_span_h,pct_fishing_status,pct_anchored_status,n_dark_gaps,max_dark_gap_h,pct_dark,length,draught,dist_to_port_nm,dist_to_fishing_nm,n_pings
500036897,MV_GUL_CARGO_000,SL,cargo,transit,16.69688041594454,1.0522851133144095,19.3,0.0,0.0,0.9861351819757366,20.258502561016595,0.0,3.439409722222222,12.800000000000011,1.4175618346401636e-05,2.543062790294627,-1.055603206239168,9.30576,8.42688,801.9227129443352,78.4185228288,48.0,0.0,0.0,0,0.08333333333333333,0.0,210,9.4,245.206705937801,9999.0,577
500036898,MV_GUL_CARGO_001,CN,bulk_carrier,transit,12.511785095320622,0.702656338157244,14.1,0.0,0.0,0.0017331022530329288,18.755102684118253,0.0,3.2961805555555546,13.400000000000006,1.1250418779630621e-05,8.133698249566724,-4.896633466204506,9.472430000000001,0.9829600000000003,601.0404890740604,9.311019792800003,48.0,0.0,0.0,0,0.08333333333333333,0.0,189,17.3,174.5425552468512,9999.0,577
500036899,MV_GUL_CARGO_002,CM,cargo,transit,16.92720970537262,1.0686673601083354,20.5,0.0,0.0,0.9982668977469671,55.34897444125068,0.0,3.501909722222222,15.699999999999989,3.510776341578586e-05,-1.9573557365684575,2.3187027209705375,6.4211599999999995,7.529669999999999,812.9642394030088,48.34921581719999,48.0,0.0,0.0,0,0.08333333333333333,0.0,271,10.9,508.84947104294,9999.0,577
500036900,MV_GUL_CARGO_003,LR,cargo,transit,17.147313691507797,1.005856624861556,19.7,0.0,0.0,0.9982668977469671,34.48184095601293,0.0,3.359027777777779,12.299999999999955,3.0676508837470906e-05,4.984672547660312,2.994134748700173,6.415279999999999,9.70479,823.4477306981433,62.258945191199984,48.0,0.0,0.0,0,0.08333333333333333,0.0,169,7.0,91.10197501234138,9999.0,577
500036901,MV_GUL_CARGO_004,GH,cargo,transit,17.004506065857882,0.9982205000771609,19.9,0.0,0.0,0.9982668977469671,36.08817118666534,0.0,3.576736111111111,13.900000000000006,2.6592051171371064e-05,11.621984766031197,1.8337341941074525,10.983820000000001,2.37323,817.0397763832199,26.067131138600004,48.0,0.0,0.0,0,0.08333333333333333,0.0,280,6.7,323.9399547947801,9999.0,577
500036902,MV_GUL_CARGO_005,KR,cargo,transit,16.892027729636048,1.039633423893644,20.0,0.0,0.0,0.9982668977469671,24.598037547573472,0.0,3.506076388888888,15.300000000000011,2.540173825122625e-05,0.46706445407279024,2.8389319410745233,3.04941,12.2331,811.2885220825851,37.303737471,48.0,0.0,0.0,0,0.08333333333333333,0.0,225,7.5,360.7318151951057,9999.0,577
500036903,MV_GUL_CARGO_006,CN,cargo,transit,16.904506065857884,0.9241871075465363,20.3,0.0,0.0,1.0,54.70389320341274,0.0,3.384722222222221,14.899999999999977,4.329815581140864e-05,-10.085543032928943,-4.056204939341422,5.85776,8.45243,812.2590904089765,49.512306356799996,48.0,0.0,0.0,0,0.08333333333333333,0.0,272,6.9,927.3600478182265,9999.0,577
500036904,MV_GUL_CARGO_007,SL,cargo,transit,16.912305025996535,1.0037042608163913,19.7,0.0,0.0,0.9965337954939342,28.10258212977267,0.0,3.4814236111111105,14.199999999999989,2.3711354346161402e-05,0.08686922010398612,15.195654852686308,2.95735,12.00863,812.6986032449931,35.5137219305,48.0,0.0,0.0,0,0.08333333333333333,0.0,208,6.8,803.8786590300776,9999.0,577
500036905,MV_GUL_CARGO_008,GA,bulk_carrier,transit,12.511785095320622,0.7098463980012296,14.2,0.0,0.0,0.012131715771230503,40.92204907486022,0.0,3.378124999999999,12.400000000000034,3.132883135318412e-05,10.294836291161179,-0.21744920277296365,6.756810000000001,4.3492500000000005,600.6438100764977,29.387055892500005,48.0,0.0,0.0,0,0.08333333333333333,0.0,282,17.7,314.9427939648411,9999.0,577
500036906,MV_GUL_CARGO_009,PA,bulk_carrier,transit,12.45164644714038,0.6380768004323163,14.4,0.0,0.0,0.006932409012131715,60.16569123218956,0.0,3.4637152777777773,13.0,3.958376915838323e-05,2.385382218370884,-1.9948905719237435,5.60718,4.868379999999999,597.8074200293366,27.297882968399993,48.0,0.0,0.0,0,0.08333333333333333,0.0,269,8.4,215.89350899844626,9999.0,577
