mmsi,name,flag,vessel_type_key,true_activity,sog_mean,sog_std,sog_max,pct_slow,pct_vslow,pct_fast,cog_std,zig_zag,mean_turning_rate,max_turning_rate,loiter_index,centroid_lat,centroid_lon,lat_range,lon_range,total_dist_nm,bbox_area,t_span_h,pct_fishing_status,pct_anchored_status,n_dark_gaps,max_dark_gap_h,pct_dark,length,draught,dist_to_port_nm,dist_to_fishing_nm,n_pings
500011166,MV_PHI_CARGO_000,PA,cargo,transit,17.013691507798963,0.9643217973007625,20.6,0.0,0.0,1.0,60.60439031854461,0.0,3.3,13.699999999999989,4.229423154981162e-05,7.380480381282496,120.40047055459272,5.113320000000001,7.8101899999999915,817.2863812888289,39.93600073079996,48.0,0.0,0.0,0,0.08333333333333333,0.0,239,13.6,272.4718802295793,76.08547395045451,577
500011167,MV_PHI_CARGO_001,PH,tanker,transit,12.930849220103987,0.8746089830771736,15.4,0.0,0.0,0.08665511265164645,24.766431926405886,0.0,3.3366319444444446,12.5,2.042651106800345e-05,5.171657729636049,116.38281686308493,1.6935199999999995,9.467669999999998,620.9928576637915,16.033688498399993,48.0,0.0,0.0,0,0.08333333333333333,0.0,214,18.9,543.5108271364095,340.10628705153283,577
500011168,MV_PHI_CARGO_002,CN,bulk_carrier,transit,12.367417677642981,0.7397215415237413,14.9,0.0,0.0,0.010398613518197574,44.51869155061058,0.0,3.2982638888888896,13.0,3.059264907002274e-05,21.703261455805894,118.01751471403813,2.389590000000002,8.061120000000003,593.6477840016628,19.26277174080002,48.0,0.0,0.0,0,0.08333333333333333,0.0,101,14.5,432.73896450038404,643.3174865659712,577
500011169,MV_PHI_CARGO_003,ID,cargo,transit,16.796187175043325,0.9953371460412764,19.5,0.0,0.0,1.0,23.96965709764176,0.0,3.323958333333334,14.0,2.4305047887738163e-05,27.445525996533796,122.3219670883882,11.34825,5.8868400000000065,806.3204110049178,66.80533203000007,48.0,0.0,0.0,0,0.08333333333333333,0.0,177,9.8,766.6525493007653,959.6756491685056,577
500011170,MV_PHI_CARGO_004,SG,cargo,transit,16.846100519930676,0.9347273916254099,19.3,0.0,0.0,1.0,22.436957371343027,0.0,3.422048611111111,15.699999999999989,1.9812751691702226e-05,15.489901005199307,120.7120889948007,12.438609999999999,2.0998400000000004,808.8102852585891,26.1190908224,48.0,0.0,0.0,0,0.08333333333333333,0.0,265,9.7,47.6877667695966,289.5975744735312,577
500011171,MV_PHI_CARGO_005,SG,tanker,transit,12.98058925476603,0.7951571350472826,15.2,0.0,0.0,0.08665511265164645,27.21201328600475,0.0,3.475173611111112,14.0,2.4648892124438832e-05,5.817305216637782,119.09687143847488,7.99809,4.900950000000009,623.2189901022593,39.19823918550007,48.0,0.0,0.0,0,0.08333333333333333,0.0,154,14.1,393.1490474908306,196.9639749247412,577
500011172,MV_PHI_CARGO_006,SG,tanker,transit,12.908145580589254,0.7663319594321988,15.1,0.0,0.0,0.07105719237435008,42.683464388973555,0.0,3.282986111111111,14.199999999999989,3.607321020172092e-05,3.102722201039861,128.8191358405546,3.01994,7.8311999999999955,619.8866630195587,23.649754127999987,48.0,0.0,0.0,0,0.08333333333333333,0.0,156,15.0,306.2443052517164,568.3193836033576,577
500011173,MV_PHI_CARGO_007,CN,bulk_carrier,transit,12.437088388214905,0.7383365871545472,14.8,0.0,0.0,0.022530329289428077,30.95903757450158,0.0,3.5552083333333337,18.400000000000006,2.1729953593583107e-05,25.230548648180243,121.70785327556328,7.435600000000001,4.737840000000006,597.981611828981,35.22868310400005,48.0,0.0,0.0,0,0.08333333333333333,0.0,250,13.0,630.2746466505854,830.649380499442,577
500011174,MV_PHI_CARGO_008,TW,cargo,transit,16.901213171577123,0.9903600790993394,19.8,0.0,0.0,0.9982668977469671,41.89506493936414,0.0,3.257291666666665,13.100000000000023,3.371362623038948e-05,9.561186325823224,110.56921266897749,3.7353300000000003,10.491519999999994,812.0925698640131,39.18928940159998,48.0,0.0,0.0,0,0.08333333333333333,0.0,140,9.9,650.7748738932697,418.4415507705232,577
500011175,MV_PHI_CARGO_009,CN,bulk_carrier,transit,12.34939341421144,0.6856062703016249,14.7,0.0,0.0,0.008665511265164644,46.89022696221833,0.0,3.324305555555556,12.0,3.633317172203867e-05,5.396071022530329,129.2060994454073,6.259239999999999,4.851019999999991,593.6897026547185,30.363698424799942,48.0,0.0,0.0,0,0.08333333333333333,0.0,180,8.3,237.53347875471582,499.03004761190664,577
