MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType,Length,Width
1,1737971925.0,208.0,200.0,20.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971925.0,208.0,200.0,20.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971925.0,208.0,200.0,20.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971925.0,208.0,200.0,20.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971925.4,220.8,200.0,32.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971925.4,220.8,200.0,32.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971925.4,220.8,200.0,32.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971925.4,220.8,200.0,32.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971925.8,236.48000000000002,200.0,39.2,90.0,90.0,CAR,car,10.0,3.333
2,1737971925.8,236.48000000000002,200.0,39.2,90.0,90.0,CAR,car,10.0,3.333
3,1737971925.8,236.48000000000002,200.0,39.2,90.0,90.0,CAR,car,10.0,3.333
4,1737971925.8,236.48000000000002,200.0,39.2,90.0,90.0,CAR,car,10.0,3.333
1,1737971926.2,253.88800000000003,200.0,43.52,90.0,90.0,CAR,car,10.0,3.333
2,1737971926.2,253.88800000000003,200.0,43.52,90.0,90.0,CAR,car,10.0,3.333
3,1737971926.2,253.88800000000003,200.0,43.52,90.0,90.0,CAR,car,10.0,3.333
4,1737971926.2,253.88800000000003,200.0,43.52,90.0,90.0,CAR,car,10.0,3.333
1,1737971926.6,272.3328,200.0,46.112,90.0,90.0,CAR,car,10.0,3.333
2,1737971926.6,272.3328,200.0,46.112,90.0,90.0,CAR,car,10.0,3.333
3,1737971926.6,272.3328,200.0,46.112,90.0,90.0,CAR,car,10.0,3.333
4,1737971926.6,272.3328,200.0,46.112,90.0,90.0,CAR,car,10.0,3.333
1,1737971927.0,291.39968000000005,200.0,47.667,90.0,90.0,CAR,car,10.0,3.333
2,1737971927.0,291.39968000000005,200.0,47.667,90.0,90.0,CAR,car,10.0,3.333
3,1737971927.0,291.39968000000005,200.0,47.667,90.0,90.0,CAR,car,10.0,3.333
4,1737971927.0,291.39968000000005,200.0,47.667,90.0,90.0,CAR,car,10.0,3.333
1,1737971927.4,310.83980800000006,200.0,48.6,90.0,90.0,CAR,car,10.0,3.333
2,1737971927.4,310.83980800000006,200.0,48.6,90.0,90.0,CAR,car,10.0,3.333
3,1737971927.4,310.83980800000006,200.0,48.6,90.0,90.0,CAR,car,10.0,3.333
4,1737971927.4,310.83980800000006,200.0,48.6,90.0,90.0,CAR,car,10.0,3.333
1,1737971927.8,330.50388480000004,200.0,49.16,90.0,90.0,CAR,car,10.0,3.333
2,1737971927.8,330.50388480000004,200.0,49.16,90.0,90.0,CAR,car,10.0,3.333
3,1737971927.8,330.50388480000004,200.0,49.16,90.0,90.0,CAR,car,10.0,3.333
4,1737971927.8,330.50388480000004,200.0,49.16,90.0,90.0,CAR,car,10.0,3.333
1,1737971928.2,350.30233088000006,200.0,49.496,90.0,90.0,CAR,car,10.0,3.333
2,1737971928.2,350.30233088000006,200.0,49.496,90.0,90.0,CAR,car,10.0,3.333
3,1737971928.2,350.30233088000006,200.0,49.496,90.0,90.0,CAR,car,10.0,3.333
4,1737971928.2,350.30233088000006,200.0,49.496,90.0,90.0,CAR,car,10.0,3.333
1,1737971928.6,370.18139852800005,200.0,49.698,90.0,90.0,CAR,car,10.0,3.333
2,1737971928.6,370.18139852800005,200.0,49.698,90.0,90.0,CAR,car,10.0,3.333
3,1737971928.6,370.18139852800005,200.0,49.698,90.0,90.0,CAR,car,10.0,3.333
4,1737971928.6,370.18139852800005,200.0,49.698,90.0,90.0,CAR,car,10.0,3.333
1,1737971929.0,390.1088391168,200.0,49.819,90.0,90.0,CAR,car,10.0,3.333
2,1737971929.0,390.1088391168,200.0,49.819,90.0,90.0,CAR,car,10.0,3.333
3,1737971929.0,390.1088391168,200.0,49.819,90.0,90.0,CAR,car,10.0,3.333
4,1737971929.0,390.1088391168,200.0,49.819,90.0,90.0,CAR,car,10.0,3.333
1,1737971929.4,410.06530347008004,200.0,49.891,90.0,90.0,CAR,car,10.0,3.333
2,1737971929.4,410.06530347008004,200.0,49.891,90.0,90.0,CAR,car,10.0,3.333
3,1737971929.4,410.06530347008004,200.0,49.891,90.0,90.0,CAR,car,10.0,3.333
4,1737971929.4,410.06530347008004,200.0,49.891,90.0,90.0,CAR,car,10.0,3.333
1,1737971929.8,430.03918208204806,200.0,49.935,90.0,90.0,CAR,car,10.0,3.333
2,1737971929.8,430.03918208204806,200.0,49.935,90.0,90.0,CAR,car,10.0,3.333
3,1737971929.8,430.03918208204806,200.0,49.935,90.0,90.0,CAR,car,10.0,3.333
4,1737971929.8,430.03918208204806,200.0,49.935,90.0,90.0,CAR,car,10.0,3.333
1,1737971930.2,450.0235092492289,200.0,49.961,90.0,90.0,CAR,car,10.0,3.333
2,1737971930.2,450.0235092492289,200.0,49.961,90.0,90.0,CAR,car,10.0,3.333
3,1737971930.2,450.0235092492289,200.0,49.961,90.0,90.0,CAR,car,10.0,3.333
4,1737971930.2,450.0235092492289,200.0,49.961,90.0,90.0,CAR,car,10.0,3.333
1,1737971930.6,470.01410554953736,200.0,49.976,90.0,90.0,CAR,car,10.0,3.333
2,1737971930.6,470.01410554953736,200.0,49.976,90.0,90.0,CAR,car,10.0,3.333
3,1737971930.6,470.01410554953736,200.0,49.976,90.0,90.0,CAR,car,10.0,3.333
4,1737971930.6,470.01410554953736,200.0,49.976,90.0,90.0,CAR,car,10.0,3.333
1,1737971931.0,487.8865974164472,205.42655873076896,46.695,73.11,73.11,CAR,car,10.0,3.333
2,1737971931.0,490.0084633297225,200.0,49.986,90.0,90.0,CAR,car,10.0,3.333
3,1737971931.0,490.0084633297225,200.0,49.986,90.0,90.0,CAR,car,10.0,3.333
4,1737971931.0,490.0084633297225,200.0,49.986,90.0,90.0,CAR,car,10.0,3.333
1,1737971931.4,504.20522832160333,214.40040053958435,46.558,61.193,61.193,CAR,car,10.0,3.333
2,1737971931.4,510.00507799783355,200.0,49.992,90.0,90.0,CAR,car,10.0,3.333
3,1737971931.4,510.00507799783355,200.0,49.992,90.0,90.0,CAR,car,10.0,3.333
4,1737971931.4,510.00507799783355,200.0,49.992,90.0,90.0,CAR,car,10.0,3.333
1,1737971931.8,519.3714925228892,225.70994436834178,47.297,53.288,53.288,CAR,car,10.0,3.333
2,1737971931.8,530.0030467987002,200.0,49.995,90.0,90.0,CAR,car,10.0,3.333
3,1737971931.8,530.0030467987002,200.0,49.995,90.0,90.0,CAR,car,10.0,3.333
4,1737971931.8,530.0030467987002,200.0,49.995,90.0,90.0,CAR,car,10.0,3.333
1,1737971932.2,533.6704583620614,238.575822247612,48.088,48.02,48.02,CAR,car,10.0,3.333
2,1737971932.2,550.0018280792202,200.0,49.997,90.0,90.0,CAR,car,10.0,3.333
3,1737971932.2,550.0018280792202,200.0,49.997,90.0,90.0,CAR,car,10.0,3.333
4,1737971932.2,550.0018280792202,200.0,49.997,90.0,90.0,CAR,car,10.0,3.333
1,1737971932.6,547.3024850776977,252.4978288138938,48.712,44.397,44.397,CAR,car,10.0,3.333
2,1737971932.6,570.0010968475322,200.0,49.998,90.0,90.0,CAR,car,10.0,3.333
3,1737971932.6,570.0010968475322,200.0,49.998,90.0,90.0,CAR,car,10.0,3.333
4,1737971932.6,570.0010968475322,200.0,49.998,90.0,90.0,CAR,car,10.0,3.333
1,1737971933.0,560.4046164362976,267.1569747658724,49.153,41.79,41.79,CAR,car,10.0,3.333
2,1737971933.0,590.0006581085194,200.0,49.999,90.0,90.0,CAR,car,10.0,3.333
3,1737971933.0,590.0006581085194,200.0,49.999,90.0,90.0,CAR,car,10.0,3.333
4,1737971933.0,590.0006581085194,200.0,49.999,90.0,90.0,CAR,car,10.0,3.333
1,1737971933.4,573.0630347340971,282.354606726567,49.447,39.792,39.792,CAR,car,10.0,3.333
2,1737971933.4,610.0003948651117,200.0,49.999,90.0,90.0,CAR,car,10.0,3.333
3,1737971933.4,610.0003948651117,200.0,49.999,90.0,90.0,CAR,car,10.0,3.333
4,1737971933.4,610.0003948651117,200.0,49.999,90.0,90.0,CAR,car,10.0,3.333
1,1737971933.8,585.3134138008642,297.97917701827623,49.636,38.098,38.098,CAR,car,10.0,3.333
2,1737971933.8,630.0002369190671,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971933.8,630.0002369190671,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971933.8,630.0002369190671,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971934.2,600.5201281077785,308.86243306826213,46.75,54.409,54.409,CAR,car,10.0,3.333
2,1737971934.2,650.0001421514403,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971934.2,650.0001421514403,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971934.2,650.0001421514403,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971934.6,617.5944847999243,316.28248948736893,46.542,66.512,66.512,CAR,car,10.0,3.333
2,1737971934.6,670.0000852908643,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971934.6,670.0000852908643,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971934.6,670.0000852908643,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971935.0,635.8309707051113,321.0950558553056,47.152,75.217,75.217,CAR,car,10.0,3.333
2,1737971935.0,690.0000511745186,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971935.0,690.0000511745186,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971935.0,690.0000511745186,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971935.4,654.7716976214988,323.84609413307436,47.849,81.736,81.736,CAR,car,10.0,3.333
2,1737971935.4,710.0000307047112,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971935.4,710.0000307047112,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971935.4,710.0000307047112,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971935.8,674.1073643182303,324.8188649269248,48.4,87.12,87.12,CAR,car,10.0,3.333
2,1737971935.8,730.0000184228268,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971935.8,730.0000184228268,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971935.8,730.0000184228268,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971936.2,693.7029100773203,325.0965308822816,48.994,89.188,89.188,CAR,car,10.0,3.333
2,1737971936.2,750.0000110536961,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971936.2,750.0000110536961,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971936.2,750.0000110536961,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971936.6,713.4510580423558,324.8800017778294,49.373,90.628,90.628,CAR,car,10.0,3.333
2,1737971936.6,770.0000066322177,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
3,1737971936.6,770.0000066322177,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971936.6,770.0000066322177,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971937.0,733.287260304456,324.29972521063456,49.612,91.676,91.676,CAR,car,10.0,3.333
2,1737971937.0,787.8784313983774,194.5737590286645,46.709,106.883,106.883,CAR,car,10.0,3.333
3,1737971937.0,790.0000039793307,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971937.0,790.0000039793307,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971937.4,753.1724173507673,323.4370161732068,49.76,92.484,92.484,CAR,car,10.0,3.333
2,1737971937.4,804.2008222939431,185.60030383359052,46.566,118.8,118.8,CAR,car,10.0,3.333
3,1737971937.4,810.0000023875984,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971937.4,810.0000023875984,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971937.8,773.0820496238998,322.33378793401266,49.85,93.172,93.172,CAR,car,10.0,3.333
2,1737971937.8,819.3694584373528,174.29109715736797,47.301,126.707,126.707,CAR,car,10.0,3.333
3,1737971937.8,830.0000014325591,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
